,Weight (%),MCR,CCR,CCR (%),Stock Vol (%),W/CCR Ratio,Cumulative CCR (%)
WEC,5.993151253641594e-16,0.1064029145526643,6.376887607424196e-19,6.4866399499955e-16,16.723671277702906,0.33201000794693175,99.9999999999999
ADSK,5.893164861062349e-16,0.1077654484157615,6.350795538403928e-19,6.460098811480236e-16,28.22681806690345,1.1890677596553543e-16,99.9999999999999
ICE,5.089267208947735e-16,0.12059206792620525,6.1372525695603425e-19,6.242880563642721e-16,19.5148108127967,inf,99.9999999999999
PG,5.55615796052802e-16,0.10685649821936638,5.937115832156807e-19,6.039299281326862e-16,18.96615521921972,inf,99.9999999999999
EQIX,4.676687498521799e-16,0.12309071962327582,5.75656829646226e-19,5.855644349641066e-16,27.210961221924762,inf,99.9999999999999
ON,3.6209015178671907e-16,0.15842355155850948,5.736360783041181e-19,5.835089045562219e-16,58.161312362875215,1.6706420511524812e-16,99.9999999999999
KEYS,4.1189166441360963e-16,0.13875829081300803,5.715338335415756e-19,5.813704781480943e-16,33.59378857286759,inf,99.9999999999999
IR,3.501981712132385e-16,0.16226675451218056,5.682552067887315e-19,5.78035423089046e-16,33.05990540867246,0.2691647229382836,99.9999999999999
SRE,3.979324856831151e-16,0.14072201667492149,5.599786188579229e-19,5.696163871538463e-16,30.704388034883912,8.401519290133747e-17,99.9999999999999
BK,4.237905378102084e-16,0.1309724202296837,5.550487240744226e-19,5.646016441599921e-16,22.570097115695734,3.0044356588879437,99.9999999999999
GM,5.103987042748718e-16,0.10663364397246533,5.44256737156543e-19,5.536239168122736e-16,36.242224650312444,inf,99.9999999999999
NTRS,3.947013501460363e-16,0.13784528986677794,5.440772202168899e-19,5.534413102141741e-16,28.65636103082495,0.1451262663861522,99.9999999999999
MS,3.671595253638394e-16,0.14655341933375618,5.380848388302964e-19,5.473457942052935e-16,30.73041516296974,inf,99.9999999999999
NDAQ,3.9139526550390657e-16,0.13554161625047184,5.305034687918204e-19,5.396339415281312e-16,23.638586295275005,0.3044673522530521,99.9999999999999
CTVA,3.934984288669111e-16,0.13260272322976888,5.217896325438791e-19,5.307701318135286e-16,25.927735272750358,2.638873443659028,99.9999999999999
VMC,4.970701956530232e-16,0.10442291466800875,5.190551862468606e-19,5.279886230770869e-16,24.33165971776281,0.1184499469572289,99.9999999999999
RMD,3.888941813799404e-16,0.13242088440862157,5.14977114396986e-19,5.23840363705297e-16,26.130418103506685,inf,99.9999999999999
GIS,4.62249592076767e-16,0.10562196931297743,4.882371222926862e-19,4.966401507292402e-16,23.613011270925487,4.316466123476339,99.9999999999999
SYK,3.771425248187675e-16,0.12922278719130337,4.873540822544644e-19,4.957419127263143e-16,21.98661457053924,inf,99.9999999999999
TSN,4.0586275814888227e-16,0.12004637190458971,4.872235160696327e-19,4.956090993724046e-16,23.34165342698275,0.7331019232077447,99.9999999999999
STZ,3.8301863585210493e-16,0.12081513111522836,4.627444671004797e-19,4.707087425280501e-16,28.011471664891186,inf,99.9999999999999
SNPS,3.425337928368972e-16,0.13137828627504824,4.500150269420395e-19,4.577602165140927e-16,61.52441388378439,4.560658957162619e-16,99.9999999999999
TRV,3.137033184644839e-16,0.137115415290493,4.3013560789263493e-19,4.375386536252564e-16,22.14779980308482,inf,99.9999999999999
NEM,3.5268733456179246e-16,0.12195440959541715,4.3011775658264764e-19,4.3752049507712887e-16,40.90530626918624,2.6089666304195362,99.9999999999999
WBD,2.1421390937148343e-16,0.1999145283332207,4.2824472654415393e-19,4.356152283979592e-16,58.898581986172736,0.2978475615930588,99.9999999999999
MU,2.532400571319532e-16,0.168682132580026,4.271707289170549e-19,4.3452274624318045e-16,63.268226524596415,inf,99.9999999999999
ALL,2.827927588514342e-16,0.14432045193137377,4.081277876035898e-19,4.151520576731748e-16,25.990018561142463,1.0734017171084689,99.9999999999999
MAR,2.808127560148719e-16,0.14277916566301174,4.0094211011334294e-19,4.0784270779193296e-16,29.17462041632033,inf,99.9999999999999
SPGI,2.869632671304689e-16,0.13872104876440172,3.9807845373197813e-19,4.0492976514185484e-16,23.873343572247464,inf,99.9999999999999
CNC,2.9896159835069117e-16,0.13007021971072458,3.8886000782543796e-19,3.955526609531879e-16,67.0557814103299,0.47888405889387553,99.9999999999999
CCI,2.868133671616716e-16,0.13231975625939177,3.795107483476783e-19,3.860424917664667e-16,25.743696475000423,1.1280817998833248,99.9999999999999
YUM,2.9553416072436293e-16,0.12529538604347937,3.702906675699473e-19,3.7666372456891006e-16,24.335374079411256,0.21124037253446687,99.9999999999999
CAH,3.457416904269988e-16,0.10643434676947046,3.6798790971570094e-19,3.743213340467484e-16,26.578900041103587,inf,99.9999999999999
CB,3.0010051246844615e-16,0.11581786327256496,3.4757000121097173e-19,3.5355201378337516e-16,20.17932525028793,0.2018085227221286,99.9999999999999
RTX,3.184176384499024e-16,0.10725567271424329,3.415209801602498e-19,3.4739888328750524e-16,27.559518828683494,5.693780257266441,99.9999999999999
ROK,2.3056167608953774e-16,0.14274030176204602,3.2910443219783724e-19,3.3476863464391126e-16,32.30790979055829,1.1926460210684053,99.9999999999999
MSCI,2.4429300665672734e-16,0.13420173483997844,3.2784545302607214e-19,3.3348798723493454e-16,27.398036488771144,0.1675035654522855,99.9999999999999
PNC,2.737571521351979e-16,0.11517757514941852,3.153068496274255e-19,3.2073358246416213e-16,25.146784060892998,0.125586410540917,99.9999999999999
MDT,2.801239101223743e-16,0.11244073630847994,3.149733871177022e-19,3.20394380745305e-16,21.63056861543987,1.6239407075743546,99.9999999999999
EXC,2.790051246025676e-16,0.10427276102726742,2.9092634683066503e-19,2.9593346786620015e-16,18.764687704436536,0.4826782467959356,99.9999999999999
MOH,1.7223738563821519e-16,0.15229499224366122,2.623089130984047e-19,2.6682350069382745e-16,55.23012561745805,inf,99.9999999999999
ODFL,1.7950964504386596e-16,0.14490669717913005,2.6012149775104607e-19,2.6459843783355523e-16,39.79667890445462,0.2033695998188036,99.9999999999999
INTU,2.408669283948612e-16,0.1075270657727245,2.5899714051988366e-19,2.634547293377001e-16,31.560551583204195,0.3021171099458971,99.9999999999999
URI,1.8447543360167098e-16,0.13971201266993394,2.5773434116648215e-19,2.6217019599810256e-16,36.20416479030994,0.19732371005542915,99.9999999999999
PFE,2.0621280042970194e-16,0.1236833208340535,2.5505083955635473e-19,2.5944050875540063e-16,25.973550038601456,4.2336572404038426e-17,99.9999999999999
BA,1.7472598463579883e-16,0.14340035707602766,2.5055768587234074e-19,2.5487002359360126e-16,37.64191729831074,0.30054155001535926,99.9999999999999
INTC,1.4017691581141395e-16,0.17830817926584305,2.4994690633434585e-19,2.542487319548424e-16,63.80431990333065,0.14522523940634108,99.9999999999999
KLAC,1.6701422587226054e-16,0.14624484043591357,2.442496881321637e-19,2.4845345917144085e-16,44.30134205565766,0.6722153373482129,99.9999999999999
DVN,1.304862207715478e-16,0.17050909757568286,2.224908774981794e-19,2.2632015856904864e-16,42.52116757894634,inf,99.9999999999999
TDG,1.5851479944906877e-16,0.1327602917649672,2.1044471023923633e-19,2.140666652355272e-16,27.280885495571617,0.18637364584692034,99.9999999999999
MA,1.4466892665360805e-16,0.1404272598950583,2.0315460961925343e-19,2.0665109500248542e-16,22.92746856467856,1.0781028933803624e-16,99.9999999999999
J,1.5051765298473746e-16,0.1262632865066801,1.9004853543124957e-19,1.9331945272663065e-16,27.08121105679875,3.088670258246322e-17,99.9999999999999
NKE,1.5307262601541733e-16,0.12103179611141965,1.8526654862137583e-19,1.8845516334427347e-16,42.11471813302085,inf,99.9999999999999
EQR,1.2273271025201077e-16,0.14675894258705377,1.8012122777428355e-19,1.832212865979692e-16,22.892427335642914,inf,99.9999999999999
IQV,1.0427348439322836e-16,0.16262791548293548,1.6957779407013134e-19,1.7249639030281432e-16,37.57598917717321,inf,99.9999999999999
GS,9.735252491660749e-17,0.1505796177775592,1.4659305991623064e-19,1.4911606686271821e-16,31.145326679947832,inf,99.9999999999999
META,1.241241838181207e-16,0.11521152543669334,1.4300536561270213e-19,1.4546662490445866e-16,37.25380629725702,inf,99.9999999999999
GILD,1.302758586241059e-16,0.1064420852109422,1.386683404459574e-19,1.4105495538122772e-16,28.232887348965292,inf,99.9999999999999
HON,8.870276671318482e-17,0.14982115597288356,1.3289551046962366e-19,1.3518276947263155e-16,25.187408297665907,0.4292392774987134,99.9999999999999
CLX,1.0039726866839484e-16,0.10970319220362411,1.1013900861447808e-19,1.1203460642771957e-16,23.533329833080384,0.09142960134164484,99.9999999999999
FTV,8.487227152263104e-17,0.12404273806479865,1.0527788945446192e-19,1.0708982275169265e-16,26.50480158556796,5.038697900273824e-16,99.9999999999999
MSI,8.728234693259184e-17,0.11743429089246533,1.024994051945907e-19,1.0426351811688438e-16,23.34311105852913,0.21400982600655014,99.9999999999999
TGT,5.796169302036031e-17,0.13960395752671806,8.091681730591052e-20,8.230947322200328e-17,34.24677835413444,inf,99.9999999999999
ADM,6.272196754250236e-17,0.1272900271457766,7.983880951121646e-20,8.12129118808048e-17,29.381275926455913,inf,99.9999999999999
GE,5.453420246889868e-17,0.14362088825508962,7.832250598866129e-20,7.967051132253336e-17,30.76426690641862,inf,99.9999999999999
